,AGENCE,CODE RESPONSABLE,,,
CLIENACLI,CLIENAAGE,CLIENARES,CLIENACRE,SABVERSION,
232872,102,21,1140604,0,
233148,102,21,1140604,0,
233759,102,21,1140604,0,
233819,102,21,1140604,0,
233840,102,21,1140604,0,
233858,102,21,1140604,0,
233867,102,21,1140604,0,
233959,102,21,1140604,0,
234012,102,21,1140604,0,
234193,102,21,1140604,0,
235103,102,21,1140604,0,
235785,102,21,1140604,0,
235816,102,21,1140604,0,
235824,102,21,1140604,0,
235828,102,21,1140604,0,
235862,102,21,1140604,0,
235876,102,21,1140604,0,
235891,102,21,1140604,0,
235919,102,21,1140604,0,
236029,102,21,1140604,0,
236791,102,21,1140604,0,
236795,102,21,1140604,0,
236812,102,21,1140604,0,
236822,102,21,1140604,0,
236841,102,21,1140604,0,
237157,102,21,1140604,0,
237304,102,21,1140604,0,
237471,102,21,1140604,0,
237658,102,21,1140604,0,
237927,102,21,1140604,0,
238193,102,21,1140604,0,
238424,102,21,1140604,0,
239367,102,21,1140604,0,
239516,102,21,1140604,0,
239774,102,21,1140604,0,
239775,102,21,1140604,0,
240096,102,21,1140604,0,
240291,102,21,1140604,0,
240310,102,21,1140604,0,
240387,102,21,1140604,0,
240708,102,21,1140604,0,
240910,102,21,1140604,0,
241172,102,21,1140604,0,
241494,102,21,1140604,0,
242113,102,21,1140604,0,
242672,102,21,1140604,0,
243120,102,21,1140604,0,
243241,102,21,1140604,0,
243386,102,21,1140604,0,
243409,102,21,1140604,0,
246452,102,21,1140604,0,
247288,102,21,1140604,0,
247310,102,21,1140604,0,
247520,102,21,1140604,0,
247985,102,21,1140604,0,
248324,102,21,1140604,0,
250298,102,21,1140604,0,
251048,102,21,1140604,0,
251058,102,21,1140604,0,
256595,102,21,1140604,0,
257970,102,21,1140604,0,
258082,102,21,1140604,0,
259163,102,21,1140604,0,
259425,102,21,1140604,0,
259432,102,21,1140604,0,
259649,102,21,1140604,0,
259719,102,21,1140604,0,
260882,102,21,1140604,0,
261470,102,21,1140604,0,
261476,102,21,1140604,0,
261498,102,21,1140604,0,
261607,102,21,1140604,0,
262482,102,21,1140604,0,
263278,102,21,1140604,0,
263341,102,21,1140604,0,
263749,102,21,1140604,0,
264746,102,21,1140604,0,
265839,102,21,1140604,0,
265849,102,21,1140604,0,
268207,102,21,1140604,0,
268392,102,21,1140604,0,
279047,102,21,1140604,0,
279079,102,21,1140604,0,
280902,102,21,1140604,0,
283732,102,21,1140604,0,
289831,102,21,1140604,0,
290249,102,21,1140604,0,
290734,102,21,1140604,0,
291771,102,21,1140604,0,
291809,102,21,1140604,0,
292353,102,21,1140604,0,
293063,102,21,1140604,0,
293313,102,21,1140604,0,
293314,102,21,1140604,0,
302610,102,21,1140604,0,
308518,102,21,1140604,0,
325496,102,21,1140604,0,
326327,102,21,1140604,0,
326376,102,21,1140604,0,
326404,102,21,1140604,0,
326439,102,21,1140604,0,
326820,102,21,1140604,0,
326900,102,21,1140604,0,
327418,102,21,1140604,0,
328405,102,21,1140604,0,
328611,102,21,1140604,0,
328952,102,21,1140604,0,
329158,102,21,1140604,0,
329351,102,21,1140604,0,
329357,102,21,1140604,0,
329380,102,21,1140604,0,
329815,102,21,1140604,0,
330135,102,21,1140604,0,
330220,102,21,1140604,0,
330224,102,21,1140604,0,
330235,102,21,1140604,0,
330328,102,21,1140604,0,
330386,102,21,1140604,0,
330387,102,21,1140604,0,
330405,102,21,1140604,0,
330407,102,21,1140604,0,
330426,102,21,1140604,0,
330440,102,21,1140604,0,
330849,102,21,1140604,0,
334072,102,21,1140604,0,
334329,102,21,1140604,0,
334451,102,21,1140604,0,
334517,102,21,1140604,0,
334873,102,21,1140604,0,
334897,102,21,1140604,0,
335543,102,21,1140604,0,
335560,102,21,1140604,0,
336149,102,21,1140604,0,
336415,102,21,1140604,0,
337323,102,21,1140604,0,
337327,102,21,1140604,0,
337545,102,21,1140604,0,
337763,102,21,1140604,0,
337813,102,21,1140604,0,
338056,102,21,1140604,0,
338453,102,21,1140604,0,
338735,102,21,1140604,0,
338739,102,21,1140604,0,
338755,102,21,1140604,0,
338812,102,21,1140604,0,
339843,102,21,1140604,0,
344300,102,21,1140604,0,
344584,102,21,1140604,0,
344594,102,21,1140604,0,
344655,102,21,1140604,0,
344907,102,21,1140604,0,
345481,102,21,1140604,0,
346614,102,21,1140604,0,
346626,102,21,1140604,0,
346857,102,21,1140604,0,
347065,102,21,1140604,0,
347661,102,21,1140604,0,
348270,102,21,1140604,0,
348336,102,21,1140604,0,
348395,102,21,1140604,0,
348711,102,21,1140604,0,
348902,102,21,1140604,0,
349863,102,21,1140604,0,
350103,102,21,1140604,0,
350125,102,21,1140604,0,
350271,102,21,1140604,0,
350290,102,21,1140604,0,
350331,102,21,1140604,0,
350497,102,21,1140604,0,
350606,102,21,1140604,0,
350642,102,21,1140604,0,
350681,102,21,1140604,0,
350997,102,21,1140604,0,
351522,102,21,1140604,0,
352013,102,21,1140604,0,
352035,102,21,1140604,0,
352197,102,21,1140604,0,
352457,102,21,1140604,0,
352607,102,21,1140604,0,
354501,102,21,1140604,0,
354506,102,21,1140604,0,
354563,102,21,1140604,0,
354564,102,21,1140604,0,
354730,102,21,1140604,0,
354775,102,21,1140604,0,
355356,102,21,1140604,0,
355474,102,21,1140604,0,
360064,102,21,1140604,0,
360104,102,21,1140604,0,
360205,102,21,1140604,0,
360459,102,21,1140604,0,
360477,102,21,1140604,0,
360494,102,21,1140604,0,
360615,102,21,1140604,0,
360622,102,21,1140604,0,
360704,102,21,1140604,0,
360806,102,21,1140604,0,
360822,102,21,1140604,0,
361034,102,21,1140604,0,
361164,102,21,1140604,0,
361314,102,21,1140604,0,
361339,102,21,1140604,0,
361494,102,21,1140604,0,
361514,102,21,1140604,0,
361526,102,21,1140604,0,
361557,102,21,1140604,0,
361583,102,21,1140604,0,
361597,102,21,1140604,0,
361619,102,21,1140604,0,
361655,102,21,1140604,0,
361852,102,21,1140604,0,
361871,102,21,1140604,0,
361880,102,21,1140604,0,
362063,102,21,1140604,0,
362102,102,21,1140604,0,
362104,102,21,1140604,0,
362125,102,21,1140604,0,
362151,102,21,1140604,0,
362164,102,21,1140604,0,
362182,102,21,1140604,0,
362262,102,21,1140604,0,
362272,102,21,1140604,0,
362279,102,21,1140604,0,
362314,102,21,1140604,0,
362342,102,21,1140604,0,
362343,102,21,1140604,0,
362438,102,21,1140604,0,
362459,102,21,1140604,0,
362484,102,21,1140604,0,
362520,102,21,1140604,0,
362550,102,21,1140604,0,
362583,102,21,1140604,0,
362628,102,21,1140604,0,
362736,102,21,1140604,0,
363453,102,21,1140604,0,
363484,102,21,1140604,0,
363528,102,21,1140604,0,
363542,102,21,1140604,0,
363590,102,21,1140604,0,
364165,102,21,1140604,0,
364353,102,21,1140604,0,
365046,102,21,1140604,0,
365050,102,21,1140604,0,
365109,102,21,1140604,0,
365349,102,21,1140604,0,
365367,102,21,1140604,0,
365410,102,21,1140604,0,
365421,102,21,1140604,0,
365641,102,21,1140604,0,
366125,102,21,1140604,0,
366743,102,21,1140604,0,
366859,102,21,1140604,0,
367070,102,21,1140604,0,
367111,102,21,1140604,0,
367115,102,21,1140604,0,
367137,102,21,1140604,0,
367142,102,21,1140604,0,
367171,102,21,1140604,0,
367235,102,21,1140604,0,
368817,102,21,1140604,0,
368876,102,21,1140604,0,
369068,102,21,1140604,0,
369416,102,21,1140604,0,
369503,102,21,1140604,0,
369541,102,21,1140604,0,
369544,102,21,1140604,0,
369618,102,21,1140604,0,
369712,102,21,1140604,0,
369839,102,21,1140604,0,
369840,102,21,1140604,0,
369891,102,21,1140604,0,
370564,102,21,1140604,0,
370617,102,21,1140604,0,
371006,102,21,1140604,0,
371027,102,21,1140604,0,
371331,102,21,1140604,0,
371403,102,21,1140604,0,
371484,102,21,1140604,0,
371670,102,21,1140604,0,
371784,102,21,1140604,0,
376600,102,21,1140604,0,
380343,102,21,1140604,0,
380482,102,21,1140604,0,
381017,102,21,1140604,0,
382402,102,21,1140604,0,
382782,102,21,1140604,0,
386554,102,21,1140604,0,
386589,102,21,1140604,0,
386792,102,21,1140604,0,
387107,102,21,1140604,0,
387312,102,21,1140604,0,
387320,102,21,1140604,0,
387322,102,21,1140604,0,
387334,102,21,1140604,0,
387339,102,21,1140604,0,
387341,102,21,1140604,0,
387393,102,21,1140604,0,
388069,102,21,1140604,0,
388075,102,21,1140604,0,
388088,102,21,1140604,0,
388091,102,21,1140604,0,
388127,102,21,1140604,0,
388221,102,21,1140604,0,
388429,102,21,1140604,0,
388600,102,21,1140604,0,
501377,102,21,1140604,0,
502113,102,21,1140604,0,
502182,102,21,1140604,0,
502900,102,21,1140604,0,
502993,102,21,1140604,0,
503225,102,21,1140604,0,
503353,102,21,1140604,0,
503417,102,21,1140604,0,
503418,102,21,1140604,0,
503577,102,21,1140604,0,
503739,102,21,1140604,0,
504274,102,21,1140604,0,
505088,102,21,1140604,0,
505423,102,21,1140604,0,
505616,102,21,1140604,0,
505903,102,21,1140604,0,
505924,102,21,1140604,0,
506070,102,21,1140604,0,
506221,102,21,1140604,0,
506358,102,21,1140604,0,
506390,102,21,1140604,0,
506437,102,21,1140604,0,
506601,102,21,1140604,0,
506694,102,21,1140604,0,
507055,102,21,1140604,0,
507111,102,21,1140604,0,
507329,102,21,1140604,0,
507393,102,21,1140604,0,
508472,102,21,1140604,0,
508958,102,21,1140604,0,
509476,102,21,1140604,0,
509524,102,21,1140604,0,
509527,102,21,1140604,0,
509533,102,21,1140604,0,
509545,102,21,1140604,0,
510147,102,21,1140604,0,
510387,102,21,1140604,0,
510531,102,21,1140604,0,
603025,102,21,1140604,0,
603134,102,21,1140604,0,
603417,102,21,1140604,0,
603993,102,21,1140604,0,
604039,102,21,1140604,0,
604152,102,21,1140604,0,
604185,102,21,1140604,0,
604597,102,21,1140604,0,
605071,102,21,1140604,0,
605174,102,21,1140604,0,
605203,102,21,1140604,0,
605208,102,21,1140604,0,
605306,102,21,1140604,0,
605309,102,21,1140604,0,
605348,102,21,1140604,0,
605440,102,21,1140604,0,
605551,102,21,1140604,0,
605571,102,21,1140604,0,
605862,102,21,1140604,0,
605871,102,21,1140604,0,
605919,102,21,1140604,0,
606174,102,21,1140604,0,
606176,102,21,1140604,0,
606177,102,21,1140604,0,
606263,102,21,1140604,0,
606477,102,21,1140604,0,
607216,102,21,1140604,0,
607306,102,21,1140604,0,
607477,102,21,1140604,0,
607587,102,21,1140604,0,
607601,102,21,1140604,0,
607661,102,21,1140604,0,
608327,102,21,1140604,0,
608428,102,21,1140604,0,
609609,102,21,1140604,0,
611124,102,21,1140604,0,
611261,102,21,1140604,0,
611604,102,21,1140604,0,
611733,102,21,1140604,0,
611917,102,21,1140604,0,
612003,102,21,1140604,0,
612330,102,21,1140604,0,
613039,102,21,1140604,0,
613072,102,21,1140604,0,
613084,102,21,1140604,0,
613176,102,21,1140604,0,
613236,102,21,1140604,0,
613420,102,21,1140604,0,
