,AGENCE,CODE RESPONSABLE,,,,,,,,,,
CLIENACLI,CLIENAAGE,CLIENARES,CLIENACRE,SABVERSION,,N AGENCE,N CODE RESP,,N° Prospect,Agence,Libellé Agence,
115419,102,21,1140604,0,,,,,115419,54730,NANCY,
116502,102,21,1140604,0,,,,,116502,06730,NICE,
116554,102,21,1140604,0,,,,,116554,54730,NANCY,
116608,102,21,1140604,0,,,,,116608,49730,ANGERS,
116781,102,21,1140604,0,,,,,116781,86730,POITIERS,
116837,102,21,1140604,0,,,,,116837,35760,D.R./RENNES,
117070,102,21,1140604,0,,,,,117070,35760,D.R./RENNES,
117119,102,21,1140604,0,,,,,117119,89730,AUXERRE,
117238,102,21,1140604,0,,,,,117238,44730,NANTES,
117360,102,21,1140604,0,,,,,117360,49730,ANGERS,
118508,102,21,1140604,0,,,,,118508,54730,NANCY,
118775,102,21,1140604,0,,,,,118775,35760,D.R./RENNES,
118995,102,21,1140604,0,,,,,118995,80730,AMIENS,
119242,102,21,1140604,0,,,,,119242,92730,PARIS,
119294,102,21,1140604,0,,,,,119294,01730,BOURG EN BRESSE,
119451,102,21,1140604,0,,,,,119451,87740,D.R./LIMOGES,
119889,102,21,1140604,0,,,,,119889,59730,LILLE,
120174,102,21,1140604,0,,,,,120174,35760,D.R./RENNES,
120187,102,21,1140604,0,,,,,120187,80730,AMIENS,
120240,102,21,1140604,0,,,,,120240,69730,LYON,
120930,102,21,1140604,0,,,,,120930,54730,NANCY,
120974,102,21,1140604,0,,,,,120974,54730,NANCY,
121903,102,21,1140604,0,,,,,121903,21730,DIJON,
121925,102,21,1140604,0,,,,,121925,35760,D.R./RENNES,
122183,102,21,1140604,0,,,,,122183,44730,NANTES,
122184,102,21,1140604,0,,,,,122184,44730,NANTES,
122596,102,21,1140604,0,,,,,122596,49730,ANGERS,
123258,102,21,1140604,0,,,,,123258,01730,BOURG EN BRESSE,
123885,102,21,1140604,0,,,,,123885,49730,ANGERS,
124257,102,21,1140604,0,,,,,124257,59730,LILLE,
124294,102,21,1140604,0,,,,,124294,92730,PARIS,
124421,102,21,1140604,0,,,,,124421,92730,PARIS,
124678,102,21,1140604,0,,,,,124678,49730,ANGERS,
124853,102,21,1140604,0,,,,,124853,69730,LYON,
